BackpackWeight BackProblems   Gender
             9            1   Female
             8            0     Male
            10            1   Female
             6            0     Male
             8            0   Female
             5            0     Male
             8            0     Male
             4            1   Female
             5            0   Female
             2            0   Female
             8            0   Female
            21            0     Male
            11            0     Male
            11            1     Male
            12            1   Female
            11            0     Male
            13            1   Female
             6            0   Female
            10            1   Female
             5            0     Male
            20            0     Male
            14            1   Female
            11            0     Male
            15            0   Female
            10            0     Male
            18            1     Male
             8            0     Male
             5            0   Female
            25            0     Male
             6            1   Female
            10            1   Female
            15            1   Female
             9            0   Female
             7            0     Male
            14            1   Female
            17            0   Female
            14            0   Female
            11            0     Male
             4            0     Male
             8            0   Female
             8            1   Female
            13            1   Female
            10            0   Female
            15            1   Female
            10            0   Female
             5            0   Female
             6            0   Female
             5            0   Female
            13            0     Male
            10            0   Female
            19            0     Male
             8            0     Male
            21            0   Female
            16            0     Male
            13            0   Female
            17            1   Female
            10            0   Female
             5            1     Male
             9            0   Female
            13            0   Female
            10            0     Male
            10            0   Female
            11            1     Male
             8            1   Female
            12            0     Male
            35            0     Male
            12            1   Female
            14            0   Female
             2            0     Male
             5            1   Female
             6            0     Male
            20            1     Male
            14            0     Male
            14            0   Female
             8            0     Male
            25            0   Female
             2            0   Female
             8            1   Female
            15            1   Female
            10            0   Female
            25            1   Female
            24            1   Female
             5            1   Female
            10            0   Female
            19            1   Female
            13            0   Female
             9            0   Female
            14            0     Male
            20            1     Male
            16            0     Male
            18            0     Male
            18            1     Male
            11            1     Male
            13            0     Male
            15            0     Male
            14            0     Male
             6            0     Male
            11            0     Male
             9            0     Male
            15            0     Male

